stock_code,price_code,price,min,currency,display_price_range
MS24585-C447,J,1.174,799,$,700-799
MS24585-C447,K,1.056,899,$,800-899
MS24585-C447,L,0.962,999,$,900-999
MS24585-C448,A,16.41,19,$,0-19
MS24585-C448,B,10.33,49,$,20-49
MS24585-C448,C,6.79,99,$,50-99
MS24585-C448,D,4.9,199,$,100-199
MS24585-C448,E,3.036,299,$,200-299
MS24585-C448,F,2.257,399,$,300-399
MS24585-C448,G,1.819,499,$,400-499
MS24585-C448,H,1.533,599,$,500-599
MS24585-C448,I,1.33,699,$,600-699
MS24585-C448,J,1.179,799,$,700-799
MS24585-C448,K,1.061,899,$,800-899
MS24585-C448,L,0.966,999,$,900-999
MS24585-C449,A,16.41,19,$,0-19
MS24585-C449,B,10.33,49,$,20-49
MS24585-C449,C,6.79,99,$,50-99
MS24585-C449,D,4.9,199,$,100-199
MS24585-C449,E,3.039,299,$,200-299
MS24585-C449,F,2.26,399,$,300-399
MS24585-C449,G,1.822,499,$,400-499
MS24585-C449,H,1.536,599,$,500-599
MS24585-C449,I,1.334,699,$,600-699
MS24585-C449,J,1.181,799,$,700-799
MS24585-C449,K,1.063,899,$,800-899
MS24585-C449,L,0.97,999,$,900-999
MS24585-C45,A,15.1,19,$,0-19
MS24585-C45,B,9.37,49,$,20-49
MS24585-C45,C,5.97,99,$,50-99
MS24585-C45,D,4.23,199,$,100-199
MS24585-C45,E,2.531,299,$,200-299
MS24585-C45,F,1.854,399,$,300-399
MS24585-C45,G,1.48,499,$,400-499
MS24585-C45,H,1.24,599,$,500-599
MS24585-C45,I,1.07,699,$,600-699
MS24585-C45,J,0.945,799,$,700-799
MS24585-C45,K,0.85,899,$,800-899
MS24585-C45,L,0.771,999,$,900-999
MS24585-C450,A,16.41,19,$,0-19
MS24585-C450,B,10.33,49,$,20-49
MS24585-C450,C,6.79,99,$,50-99
MS24585-C450,D,4.9,199,$,100-199
MS24585-C450,E,3.046,299,$,200-299
MS24585-C450,F,2.268,399,$,300-399
MS24585-C450,G,1.83,499,$,400-499
MS24585-C450,H,1.543,599,$,500-599
MS24585-C450,I,1.341,699,$,600-699
MS24585-C450,J,1.187,799,$,700-799
MS24585-C450,K,1.069,899,$,800-899
MS24585-C450,L,0.975,999,$,900-999
MS24585-C451,A,16.41,19,$,0-19
MS24585-C451,B,10.33,49,$,20-49
MS24585-C451,C,6.79,99,$,50-99
MS24585-C451,D,4.9,199,$,100-199
MS24585-C451,E,3.054,299,$,200-299
MS24585-C451,F,2.278,399,$,300-399
MS24585-C451,G,1.838,499,$,400-499
MS24585-C451,H,1.551,599,$,500-599
MS24585-C451,I,1.347,699,$,600-699
MS24585-C451,J,1.193,799,$,700-799
